window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2011-09-16 → 2012-09-16,7434507.108432322,47504448.71908882,20442662.334297724,34015802.775538184,32.46362411071224,66.33724582228149,33.87362171156925
2011-09-17 → 2012-09-17,7434507.108432322,47504448.71908882,20409143.435935926,34204039.27264696,32.37997313191251,66.80701565358746,34.42704252167495
2011-09-18 → 2012-09-18,7434507.108432322,47504448.71908882,20374308.785952754,34357080.08533764,32.293038515631686,67.18894985797864,34.895911342346956
2011-09-19 → 2012-09-19,7434507.108432322,47504448.71908882,20344066.324692145,34644574.3743006,32.21756433212909,67.90643103565648,35.68886670352739
2011-09-20 → 2012-09-20,7434507.108432322,47504448.71908882,20316739.932485852,34812144.36959323,32.14936759635191,68.32462479526023,36.17525719890833
2011-09-21 → 2012-09-21,7434507.108432322,47504448.71908882,20294502.633720104,34986666.98367348,32.093871386794575,68.76016976254773,36.66629837575316
2011-09-22 → 2012-09-22,7434507.108432322,47504448.71908882,20268129.36329878,34964911.641822025,32.028053296322724,68.70587634215084,36.67782304582812
2011-09-23 → 2012-09-23,7434507.108432322,47504448.71908882,20240759.646181036,35018194.96218996,31.95974843732471,68.83885212955195,36.87910369222725
2011-09-24 → 2012-09-24,7434507.108432322,47504448.71908882,20214276.38000169,35107177.97251342,31.893655837448538,69.06092135837208,37.16726552092355
2011-09-25 → 2012-09-25,7434507.108432322,47504448.71908882,20186719.049362775,35153593.187107384,31.82488276334057,69.1767568518324,37.351874088491826
2011-09-26 → 2012-09-26,7434507.108432322,47504448.71908882,20157821.123316098,35202223.307485424,31.752764050696904,69.29811994452308,37.545355893826176
2011-09-27 → 2012-09-27,7434507.108432322,47504448.71908882,20124033.50630083,35186360.80662746,31.668442447876586,69.25853291189873,37.59009046402214
2011-09-28 → 2012-09-28,7434507.108432322,47504448.71908882,20090558.836637933,35311151.527275264,31.584901847822422,69.56996516168923,37.9850633138668
2011-09-29 → 2012-09-29,7434507.108432322,47504448.71908882,20055322.01527192,35380378.50944923,31.49696355804802,69.74273052992113,38.24576697187311
2011-09-30 → 2012-09-30,7434507.108432322,47504448.71908882,20020279.02894254,35497212.43795539,31.409509010023275,70.0343055205747,38.624796510551434
2011-10-01 → 2012-10-01,7434507.108432322,47504448.71908882,19989298.395557024,35695411.70315747,31.332192617385264,70.5289387973783,39.19674617999304
2011-10-02 → 2012-10-02,7434507.108432322,47504448.71908882,19956446.74579107,35737399.36430726,31.25020684838874,70.63372472783404,39.38351787944529
2011-10-03 → 2012-10-03,7434507.108432322,47504448.71908882,19923059.774256703,35796900.8133869,31.166885110965776,70.78221870283852,39.61533359187274
2011-10-04 → 2012-10-04,7434507.108432322,47504448.71908882,19889995.935720544,35858624.06092979,31.084369795976237,70.93625747869356,39.851887682717326
2011-10-05 → 2012-10-05,7434507.108432322,47504448.71908882,19856392.363768872,35886951.49993005,31.00050750269369,71.00695246316722,40.00644496047353
2011-10-06 → 2012-10-06,7434507.108432322,47504448.71908882,19822403.72772779,35906020.83114597,30.91568422949969,71.05454257797501,40.138858348475324
2011-10-07 → 2012-10-07,7434507.108432322,47504448.71908882,19787746.66537356,35892708.3851007,30.82919280734845,71.02131955465588,40.19212674730743
2011-10-08 → 2012-10-08,7434507.108432322,47504448.71908882,19747246.891697977,35682478.551286116,30.728120102853136,70.4966623543602,39.76854225150706
2011-10-09 → 2012-10-09,7434507.108432322,47504448.71908882,19701841.769104883,35449398.93751896,30.6148054316358,69.91498041423687,39.300174982601064
2011-10-10 → 2012-10-10,7434507.108432322,47504448.71908882,19658073.28026987,36202088.03168825,30.505575203001346,71.79341862481094,41.2878434218096
2011-10-11 → 2012-10-11,7434507.108432322,47504448.71908882,19613786.037020016,36489771.932041995,30.395050352029074,72.51137300355461,42.116322651525536
2011-10-12 → 2012-10-12,7434507.108432322,47504448.71908882,19568471.434747484,36728805.15744043,30.281961586607764,73.10791299285889,42.82595140625112
2011-10-13 → 2012-10-13,7434507.108432322,47504448.71908882,19525915.5526675,37354278.70681312,30.175757583383888,74.66886747452537,44.493109891141486
2011-10-14 → 2012-10-14,7434507.108432322,47504448.71908882,19481807.32291032,37488701.663645506,30.065679484978457,75.00433828239056,44.9386587974121
2011-10-15 → 2012-10-15,7434507.108432322,47504448.71908882,19436334.45637341,37824376.416728236,29.952195749517212,75.84206037428766,45.88986462477044
2011-10-16 → 2012-10-16,7434507.108432322,47504448.71908882,19388324.92498503,37977468.74237243,29.83238142122378,76.22412313627451,46.391741715050735
2011-10-17 → 2012-10-17,7434507.108432322,47504448.71908882,19335700.61792503,37861993.053182684,29.70105029134261,75.9359378169352,46.23488752559258
