date,weight,PriceUSD,MA20,window_year,spd,spd_percentile
2011-11-25,0.0064488082880544,2.49616100292227,2.582188581531269,2011,40061518.420858845,83
2011-11-26,0.0053521709975679,2.47179996902396,2.557642551139685,2011,40456348.10792841,84
2011-11-27,0.00532496535133,2.47756495119813,2.530632914333723,2011,40362211.27185417,84
2011-11-28,0.0049353893460403,2.5412402521917,2.5048665713909997,2011,39350864.17498491,81
2011-11-29,0.0039931513476007,2.75769848275862,2.496773134336646,2011,36262122.427527525,74
2011-11-30,0.0023073449491944,2.9660415458796,2.5022401073641154,2011,33714969.4140054,69
2011-12-01,0.0013996149024715,3.08258945002922,2.5029764931911167,2011,32440258.95146436,66
2011-12-02,0.0010606212879879,3.10040233313852,2.506720460052601,2011,32253878.45027537,65
2011-12-03,0.0009761719937982,2.80385618527177,2.49759460414962,2011,35665167.3239465,73
2011-12-04,0.0017434690209121,2.81969397603741,2.527368079734074,2011,35464841.52175004,73
2011-12-05,0.0015983069306577,2.87479622735242,2.554988685315605,2011,34785074.172751464,71
2011-12-06,0.0013597137662163,3.02536045149036,2.57891766135301,2011,33053912.61749911,67
2011-12-07,0.0009523586062477,2.98550242109877,2.614237990619521,2011,33495199.76714555,68
2011-12-08,0.0010076903771438,2.99188048305085,2.6585787146113384,2011,33423795.023399133,68
2011-12-09,0.0009578337893182,2.95579195207481,2.696195476125073,2011,33831880.46432201,69
2011-12-10,0.0010123431835707,3.06897526709527,2.7395447639976624,2011,32584166.145675138,66
2011-12-11,0.0007849467436894,3.2492688471654,2.788014248085915,2011,30776154.48387353,62
2011-12-12,0.0005403662663311,3.18733535651666,2.8312580861046177,2011,31374169.585119184,63
2011-12-13,0.0006071618264105,3.24108840853302,2.8767963281560496,2011,30853832.84723849,62
2011-12-14,0.0005479537698166,3.1550865043834,2.912606703360608,2011,31694852.062239427,64
2011-12-15,0.0006592408995491,3.20313854061952,2.9479555802454707,2011,31219380.220956344,63
2011-12-16,0.0006112854875716,3.2091377773232,2.9848224706604323,2011,31161017.986398764,63
2011-12-17,0.0006140651521702,3.19254170426651,3.0205713083138517,2011,31323005.073468607,63
2011-12-18,0.0006407312220559,3.19401080888369,3.053209836148451,2011,31308597.86756642,63
2011-12-19,0.0006372105252272,3.52577391934541,3.0916136079777905,2011,28362567.279573575,57
2011-12-20,0.0003441542713073,3.95255082729398,3.1409390720485093,2011,25300117.410118826,50
2011-12-21,0.0001809309715021,3.88899325073057,3.181259262083577,2011,25713595.66674857,51
2011-12-22,0.0002134614107743,3.90306042051432,3.221392166452367,2011,25620920.31022739,50
2011-12-23,0.0002198545931353,3.93796507597896,3.2780976109877265,2011,25393826.016890325,50
2011-12-24,0.0002166292037935,3.93941911864407,3.3340838681180593,2011,25384453.13592821,50
2011-12-25,0.000225011133385,4.23386687784921,3.402037400642899,2011,23619070.434921104,46
2011-12-26,0.0001559055780894,3.99912196405611,3.4507254762711868,2011,25005488.929518666,49
2011-12-27,0.0002257706967022,4.0955185458796,3.506226282510228,2011,24416932.527532443,48
2011-12-28,0.0001992785928719,4.20729587609585,3.5669970521624785,2011,23768235.689854726,46
2011-12-29,0.0001737138565393,4.17335222676797,3.627875065897136,2011,23961552.86357041,47
2011-12-30,0.0001892642451174,4.31063509000584,3.689958057042664,2011,23198437.796752714,45
2011-12-31,0.0001628969375674,4.71430633138515,3.763209931253652,2011,21212028.445045523,40
2012-01-01,0.0001055651832421,5.2948427773232,3.8685853022939782,2011,18886302.050040256,35
2012-01-02,6.60824250767088e-05,5.2048778918761,3.9667747764611336,2011,19212746.5960503,36
2012-01-03,7.843152880725677e-05,4.87050882875511,4.052545892679719,2011,20531735.70071523,39
2012-01-04,0.0001139141839666,5.58570626709527,4.171674279003506,2011,17902838.999803495,33
2012-01-05,6.275695072306557e-05,6.87400087726476,4.354917434000584,2011,14547568.69914615,25
2012-01-06,3.154336435570435e-05,6.68331663997662,4.52945618078609,2011,14962630.889257079,26
2012-01-07,3.864855443347442e-05,6.79622798071303,4.709567039377556,2011,14714044.361635502,26
2012-01-08,3.924728367674731e-05,7.09665056633548,4.88811087172706,2011,14091154.561614173,24
2012-01-09,3.595845671559483e-05,6.28853834248977,5.004910247486849,2011,15901946.454604555,28
2012-01-10,5.790601845391283e-05,6.52847455523086,5.136884312711864,2011,15317513.93897618,27
2012-01-11,5.139095473163412e-05,6.88912772121566,5.286187677746931,2011,14515625.786997885,25
2012-01-12,4.322088850849601e-05,6.77356419579194,5.42796763373758,2011,14763276.335688196,26
2012-01-13,4.687434840532537e-05,6.45436889012273,5.553715122311513,2011,15493381.568728171,27
2012-01-14,5.6739509336965115e-05,6.76172714260666,5.680108135549386,2011,14789120.869708711,26
2012-01-15,4.7739126034215614e-05,7.04692255815312,5.832498165254236,2011,14190591.591545504,24
2012-01-16,4.120441666418605e-05,6.71560766656926,5.963502621288719,2011,14890685.246222263,26
2012-01-17,4.9391988544659456e-05,5.59962195032145,6.033118924999998,2011,17858348.454087947,33
2012-01-18,0.0001069216524013,5.9002312881356,6.119462878068381,2011,16948488.138267335,31
2012-01-19,8.348034542966527e-05,6.31570634161309,6.219716440648743,2011,15833541.7435604,28
2012-01-20,6.0945535359574814e-05,6.50149198831093,6.309075723495032,2011,15381084.861719524,27
2012-01-21,5.330075332937266e-05,6.18056832554062,6.3533620009059035,2011,16179741.851046184,29
2012-01-22,6.643804654828473e-05,6.30296722676797,6.408266467650496,2011,15865543.386503994,28
2012-01-23,6.005572722693196e-05,6.37487607714787,6.483484830070134,2011,15686579.43931989,28
2012-01-24,5.6368565548261e-05,6.27447647574518,6.517923340502629,2011,15937584.65531957,28
2012-01-25,6.0336934763840266e-05,5.81046507247224,6.464746550263004,2011,17210326.32547121,31
2012-01-26,9.023650678465573e-05,5.36722695441262,6.398942065984803,2011,18631595.207239345,34
2012-01-27,0.0001450876155,5.30313719696084,6.324287526797194,2011,18856762.7587136,35
2012-01-28,0.0001599858883735,5.65979677498539,6.252444837229691,2011,17668478.91817779,32
2012-01-29,0.0001082550031056,5.39142945733489,6.207589392971945,2011,18547956.676675566,34
2012-01-30,0.0001603692125702,5.50348193863238,6.156339762142022,2011,18170314.9233647,33
2012-01-31,0.0001416177735038,5.53822029573349,6.088794390867913,2011,18056342.048552595,33
2012-02-01,0.0001321283275546,6.07523265225015,6.053877813690823,2011,16460274.97612983,30
2012-02-02,6.456098727168143e-05,6.09957291291642,6.036138014830509,2011,16394590.478333423,29
2012-02-03,6.382109977579437e-05,5.95161092752776,5.995632204076563,2011,16802173.599331535,30
2012-02-04,7.698987666218145e-05,5.8954132390415,5.938056738120983,2011,16962339.355240587,31
2012-02-05,7.902640928850222e-05,5.67811571712449,5.886182140648744,2011,17611476.2329363,32
2012-02-06,0.0001026599988383,5.48266405844535,5.880334246054939,2011,18239308.2877224,34
2012-02-07,0.0001296275236571,5.66202770017534,5.868424066656926,2011,17661517.268257666,32
2012-02-08,9.12609956560237e-05,5.6185281899474,5.8335651590736415,2011,17798255.45396724,33
2012-02-09,9.18676564037924e-05,5.83569985417884,5.8002755523670375,2011,17135905.28964436,31
2012-02-10,6.218028566032666e-05,5.93783415546464,5.788138843863238,2011,16841157.46277102,30
2012-02-11,5.0451150727301885e-05,5.61213285330216,5.753597125189947,2011,17818537.553180043,33
2012-02-12,7.849574437113244e-05,5.51909716949152,5.710808179807129,2011,18118905.489249267,33
2012-02-13,8.578765022615032e-05,5.34835455932203,5.6645020839859725,2011,18697339.32012844,35
2012-02-14,0.0001086718911,4.48365409175921,5.598161534950321,2011,22303237.036906194,43
2012-02-15,0.0005222510411973,4.3255203220339,5.546076203331385,2011,23118605.983795047,45
2012-02-16,0.0005143905196097,4.25523904500292,5.493681295733489,2011,23500442.382298965,46
2012-02-17,0.000427243076235,4.39153837288136,5.4302683756282875,2011,22771063.69319696,44
2012-02-18,0.0002665128492353,4.27008127761543,5.374200966642315,2011,23418757.981076103,45
2012-02-19,0.0002791475582679,4.38955145821157,5.318504442621274,2011,22781370.933225803,44
2012-02-20,0.0001980223328437,4.36513593892461,5.25985022478083,2011,22908793.998437516,44
2012-02-21,0.0001829430486356,4.31511560198714,5.17184437226768,2011,23174350.173596583,45
2012-02-22,0.000178465967284,4.41931028755114,5.0878312409994155,2011,22627965.336965,44
2012-02-23,0.0001364781659432,5.03951511805961,5.042226450526008,2011,19843178.88870696,37
2012-02-24,5.0636232066290834e-05,5.02560875891292,4.998736226519579,2011,19898086.937756535,37
2012-02-25,4.878723240415405e-05,4.77256738106371,4.95345880971654,2011,20953082.90392581,40
2012-02-26,6.571676380924181e-05,4.9264208515488,4.925646649371712,2011,20298712.394529052,38
2012-02-27,5.0206802742182975e-05,4.95251575628287,4.890171052177089,2011,20191758.072276257,38
2012-02-28,4.596167991196271e-05,4.85725777556984,4.852107531458211,2011,20587748.194662835,39
2012-02-29,4.9708124008509474e-05,4.87274875569842,4.803959976534189,2011,20522297.580612037,39
2012-03-01,4.6078697344277194e-05,4.92207212361192,4.753171874941554,2011,20316646.625368405,38
2012-03-02,4.0913362730272115e-05,4.71482358708358,4.708306411630625,2011,21209701.30758517,40
2012-03-03,5.132448926942378e-05,4.62819325248393,4.663761215780246,2011,21606703.641065646,41
2012-03-04,5.497267243050123e-05,4.83414448158971,4.638050711893629,2011,20686183.53895682,39
2012-03-05,3.8107442055327584e-05,4.98239290385739,4.662987652498538,2011,20070677.268864036,38
2012-03-06,2.957152913701776e-05,4.98784135242548,4.6961037040181175,2011,20048753.144759133,38
2012-03-07,2.7966445101716108e-05,4.94911288457043,4.730797395996493,2011,20205641.36085163,38
2012-03-08,2.820463040054366e-05,4.93497949503214,4.757969452104032,2011,20263508.713798363,38
2012-03-09,2.7432337283443427e-05,4.87229784745763,4.788080280596142,2011,20524196.822692215,39
2012-03-10,2.837271770895909e-05,4.84142380479252,4.81067389792519,2011,20655080.825812045,39
2012-03-11,2.792569358174623e-05,4.89202875160724,4.837018538559321,2011,20441417.063860416,39
2012-03-12,2.4268935676357753e-05,4.91083937931035,4.866804727425482,2011,20363117.64162065,38
2012-03-13,2.226855845761874e-05,5.29088027878434,4.9103832269871415,2011,18900446.56670563,35
2012-03-14,1.4327344580161668e-05,5.39054329222677,4.927934635695499,2011,18551005.822400358,34
2012-03-15,1.3283834115374208e-05,5.34082089888954,4.94369524269433,2011,18723713.431542322,35
2012-03-16,1.3869071423881002e-05,5.33957479135009,4.972045613208649,2011,18728083.023014534,35
2012-03-17,1.394523274992444e-05,5.23600355406195,4.987524748334307,2011,19098535.546719156,36
2012-03-18,1.4982913995319232e-05,5.27014898538866,5.003406409789596,2011,18974795.641877905,35
2012-03-19,1.4538551411973504e-05,4.67867255289305,4.994477148655757,2011,21373583.82521665,41
2012-03-20,3.189954589930248e-05,4.83083021624781,4.992381221683226,2011,20700375.613215353,39
2012-03-21,2.390587490348551e-05,4.81722952483928,4.987139091744594,2011,20758819.874445647,39
2012-03-22,2.449185534478469e-05,4.72960850496785,4.987878337638809,2011,21143399.05617194,40
2012-03-23,3.001471486108432e-05,4.69164317650497,4.99105083383986,2011,21314493.92843528,41
2012-03-24,3.367534763522536e-05,4.65198626592636,4.9819429230566925,2011,21496194.159568693,41
2012-03-25,3.463082053945116e-05,4.55227026241964,4.960436790984805,2011,21967061.32004729,42
2012-03-26,4.108450551469927e-05,4.63272235973115,4.942680841350088,2011,21585580.191298857,41
2012-03-27,3.132504424979696e-05,4.81134073524255,4.935792233883694,2011,20784227.412436377,39
2012-03-28,2.066495610034143e-05,4.79058939158387,4.9285727287112815,2011,20874258.222940266,40
2012-03-29,2.0685778913619147e-05,4.79406657218001,4.9246611649474,2011,20859117.93138219,40
2012-03-30,1.9926004535684984e-05,4.86140935651666,4.925660442533607,2011,20570166.522996303,39
2012-03-31,1.7442054711781895e-05,4.88977687317358,4.925547848611925,2011,20450830.90572549,39
2012-04-01,1.6367693748900325e-05,4.79332567738165,4.9196721635154885,2011,20862342.083675172,40
